#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T12:05+0000 #
#####################################################################
#
# seed = 0.0, totalNodes = 5, totalTaskFactor = 2
#
# The columns have the following meaning: 
# time isDone[sum] distance[sum] distance[mean] done[mean] 
0.0 0.0 0.0 NaN NaN
0.0 0.0 0.0 NaN NaN
1.0 0.0 0.0 0.0 NaN
2.0 0.0 2.499999999999998 0.49999999999999956 NaN
3.0 0.0 5.000000000000004 1.0000000000000009 NaN
4.0 0.0 7.500000000000008 1.5000000000000016 NaN
5.0 0.0 9.999999999999998 1.9999999999999996 NaN
6.0 0.0 12.499999999999998 2.4999999999999996 NaN
7.0 0.0 14.999999999999995 2.999999999999999 NaN
8.0 0.0 17.5 3.5 NaN
9.0 0.0 20.000000000000007 4.000000000000002 NaN
10.0 0.0 22.499999999999996 4.5 NaN
11.0 0.0 24.999999999999993 4.999999999999998 NaN
12.0 0.0 27.5 5.5 NaN
13.0 0.0 30.0 6.0 NaN
14.0 0.0 32.50000000000001 6.500000000000002 NaN
15.0 0.0 35.00000000000001 7.000000000000002 NaN
16.0 0.0 37.5 7.500000000000001 NaN
17.0 0.0 40.0 8.000000000000002 NaN
18.0 0.0 42.5 8.5 NaN
19.0 0.0 45.000000000000014 9.000000000000002 NaN
20.0 0.0 47.5 9.5 NaN
21.0 0.0 50.000000000000014 10.000000000000004 NaN
22.0 0.0 52.50000000000002 10.500000000000005 NaN
23.0 0.0 55.000000000000014 11.000000000000002 NaN
24.0 0.0 57.50000000000001 11.5 NaN
25.0 0.0 60.0 12.0 NaN
26.0 0.0 62.50000000000001 12.500000000000002 NaN
27.0 0.0 65.0 13.0 NaN
28.0 0.0 67.5 13.499999999999998 NaN
29.0 0.0 69.99999999999999 13.999999999999996 NaN
30.0 0.0 72.49999999999997 14.499999999999995 NaN
31.0 0.0 74.99999999999997 14.999999999999995 NaN
32.0 0.0 77.49999999999997 15.499999999999993 NaN
33.0 0.0 79.99999999999996 15.999999999999991 NaN
34.0 0.0 82.49999999999994 16.49999999999999 NaN
35.0 0.0 84.99999999999994 16.999999999999993 NaN
36.0 0.0 87.49999999999994 17.49999999999999 NaN
37.0 0.0 89.99999999999997 17.999999999999993 NaN
38.0 0.0 92.49999999999994 18.49999999999999 NaN
39.0 0.0 94.99999999999993 18.999999999999986 NaN
40.0 0.0 97.49999999999993 19.499999999999986 NaN
