#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T12:05+0000 #
#####################################################################
#
# seed = 8.0, totalNodes = 40, totalTaskFactor = 0.5
#
# The columns have the following meaning: 
# time isDone[sum] distance[sum] distance[mean] done[mean] 
0.0 0.0 0.0 NaN NaN
0.0 0.0 0.0 NaN NaN
1.0 0.0 0.0 0.0 NaN
2.0 0.0 19.999999999999996 0.49999999999999983 NaN
3.0 0.0 39.99999999999998 0.9999999999999994 NaN
4.0 0.0 59.99999999999998 1.4999999999999996 NaN
5.0 0.0 79.99999999999994 1.999999999999999 NaN
6.0 0.0 99.99999999999994 2.4999999999999996 NaN
7.0 0.0 120.00000000000006 3.000000000000001 NaN
8.0 0.0 139.99999999999997 3.4999999999999996 NaN
9.0 0.0 160.0 4.0 NaN
10.0 0.0 180.0 4.5 NaN
11.0 0.0 200.00000000000003 5.000000000000001 NaN
12.0 0.0 220.00000000000006 5.500000000000001 NaN
13.0 0.0 240.00000000000006 6.000000000000001 NaN
14.0 0.0 259.9999999999999 6.500000000000001 NaN
15.0 0.0 280.00000000000006 7.000000000000002 NaN
16.0 0.0 300.0000000000001 7.500000000000003 NaN
17.0 0.0 320.0000000000001 8.000000000000004 NaN
18.0 0.0 340.0000000000001 8.500000000000004 NaN
19.0 0.0 360.0000000000002 9.000000000000004 NaN
20.0 0.0 380.0000000000002 9.500000000000004 NaN
21.0 0.0 400.0000000000003 10.000000000000004 NaN
22.0 0.0 420.00000000000017 10.500000000000004 NaN
23.0 0.0 440.00000000000017 11.000000000000005 NaN
24.0 0.0 460.0000000000001 11.500000000000005 NaN
25.0 0.0 480.00000000000017 12.000000000000005 NaN
26.0 0.0 500.00000000000017 12.500000000000005 NaN
27.0 0.0 520.0000000000002 13.000000000000007 NaN
28.0 0.0 540.0000000000002 13.500000000000007 NaN
29.0 0.0 560.0000000000001 14.000000000000007 NaN
30.0 0.0 580.0000000000003 14.500000000000007 NaN
31.0 0.0 600.0000000000002 15.000000000000005 NaN
32.0 0.0 620.0000000000001 15.500000000000005 NaN
33.0 0.0 640.0000000000002 16.000000000000004 NaN
34.0 0.0 660.0000000000002 16.500000000000004 NaN
35.0 0.0 680.0000000000001 17.000000000000004 NaN
36.0 0.0 700.0000000000002 17.500000000000004 NaN
37.0 0.0 720.0 18.000000000000004 NaN
38.0 0.0 740.0000000000001 18.500000000000004 NaN
