#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T12:05+0000 #
#####################################################################
#
# seed = 1.0, totalNodes = 10, totalTaskFactor = 2
#
# The columns have the following meaning: 
# time isDone[sum] distance[sum] distance[mean] done[mean] 
0.0 0.0 0.0 NaN NaN
0.0 0.0 0.0 NaN NaN
1.0 0.0 0.0 0.0 NaN
2.0 0.0 4.999999999999988 0.4999999999999988 NaN
3.0 0.0 9.999999999999998 0.9999999999999999 NaN
4.0 0.0 15.00000000000002 1.500000000000002 NaN
5.0 0.0 20.000000000000025 2.0000000000000027 NaN
6.0 0.0 25.00000000000002 2.5000000000000018 NaN
7.0 0.0 30.000000000000004 3.000000000000001 NaN
8.0 0.0 35.000000000000014 3.5000000000000018 NaN
9.0 0.0 40.00000000000003 4.000000000000003 NaN
10.0 0.0 45.000000000000014 4.500000000000002 NaN
11.0 0.0 50.00000000000003 5.000000000000003 NaN
12.0 0.0 55.000000000000014 5.500000000000002 NaN
13.0 0.0 60.0 6.0 NaN
14.0 0.0 65.0 6.5 NaN
15.0 0.0 70.0 6.999999999999999 NaN
16.0 0.0 74.99999999999997 7.499999999999998 NaN
17.0 0.0 80.00000000000001 8.0 NaN
18.0 0.0 85.0 8.5 NaN
19.0 0.0 90.00000000000001 9.0 NaN
20.0 0.0 95.00000000000003 9.500000000000002 NaN
21.0 0.0 100.00000000000003 10.000000000000002 NaN
22.0 0.0 105.00000000000001 10.500000000000002 NaN
23.0 0.0 110.00000000000004 11.000000000000004 NaN
24.0 0.0 115.00000000000004 11.500000000000005 NaN
25.0 0.0 120.00000000000007 12.000000000000007 NaN
26.0 0.0 125.00000000000009 12.500000000000007 NaN
27.0 0.0 130.00000000000009 13.000000000000009 NaN
28.0 0.0 135.00000000000006 13.500000000000007 NaN
29.0 0.0 140.00000000000009 14.000000000000009 NaN
30.0 0.0 145.00000000000006 14.500000000000007 NaN
31.0 0.0 150.00000000000006 15.000000000000007 NaN
32.0 0.0 155.00000000000009 15.500000000000007 NaN
33.0 0.0 160.00000000000006 16.000000000000007 NaN
34.0 0.0 165.00000000000009 16.500000000000007 NaN
35.0 0.0 170.00000000000006 17.000000000000007 NaN
36.0 0.0 175.00000000000006 17.500000000000007 NaN
37.0 0.0 180.0 18.000000000000004 NaN
38.0 0.0 185.00000000000003 18.500000000000004 NaN
39.0 0.0 190.00000000000003 19.000000000000004 NaN
