#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T09:10+0000 #
#####################################################################
#
# seed = 1.0, communication = 500, leaderBased = false, totalNodes = 40, totalTaskFactor = 0.5
#
# The columns have the following meaning: 
# time isDone[sum] replanning[sum] totalReplanning[sum] totalReplanning[mean] distance[sum] distance[mean] neighbors[mean] neighbors[mean] taskSize[sum] dones[sum] dones[mean] 
0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
0.004885589795766698 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
1.003797505013635 0.0 22.0 22.0 1.0 0.0 0.0 10.5 10.5 0.0 0.0 NaN
2.0048855897957667 0.0 40.0 40.0 1.0 0.0 0.0 19.5 19.5 0.0 0.0 NaN
3.003797505013635 0.0 40.0 62.0 1.55 0.0 0.0 35.175 35.175 0.0 0.0 NaN
4.004885589795767 0.0 40.0 80.0 2.0 0.0 0.0 39.0 39.0 0.0 0.0 NaN
5.003797505013635 0.0 40.0 102.0 2.55 0.0 0.0 39.0 39.0 0.0 0.0 NaN
6.004885589795767 0.0 40.0 120.0 3.0 0.0 0.0 39.0 39.0 0.0 0.0 NaN
7.003797505013635 0.0 40.0 142.0 3.55 0.0 0.0 39.0 39.0 0.0 0.0 NaN
8.004885589795766 0.0 39.0 159.0 3.975 0.0 0.0 39.0 39.0 0.0 0.0 NaN
9.003797505013635 0.0 39.0 181.0 4.525 0.0 0.0 39.0 39.0 0.0 0.0 NaN
10.004885589795766 0.0 39.0 198.0 4.95 1.0000000000000155 0.025000000000000393 39.0 39.0 0.0 0.0 NaN
11.003797505013635 0.0 39.0 220.0 5.5 1.0000000000000155 0.025000000000000393 39.0 39.0 0.0 0.0 NaN
12.004885589795766 0.0 39.0 237.0 5.925 2.000000000000006 0.05000000000000012 39.0 39.0 0.0 0.0 NaN
13.003797505013635 0.0 39.0 259.0 6.475 2.000000000000006 0.05000000000000012 39.0 39.0 0.0 0.0 NaN
14.004885589795766 0.0 39.0 276.0 6.9 3.000000000000009 0.07500000000000025 39.0 39.0 0.0 0.0 NaN
15.003797505013635 0.0 39.0 298.0 7.45 3.000000000000009 0.07500000000000025 39.0 39.0 0.0 0.0 NaN
16.004885589795766 0.0 40.0 316.0 7.9 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
17.003797505013637 0.0 40.0 338.0 8.45 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
18.004885589795766 0.0 40.0 356.0 8.9 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
19.003797505013637 0.0 40.0 378.0 9.45 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
20.004885589795766 0.0 40.0 396.0 9.9 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
21.003797505013637 0.0 40.0 418.0 10.45 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
22.004885589795766 0.0 39.0 435.0 10.875 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
23.003797505013637 0.0 39.0 457.0 11.425 4.000000000000007 0.10000000000000021 39.0 39.0 0.0 0.0 NaN
24.004885589795766 0.0 39.0 474.0 11.85 5.0000000000000036 0.12500000000000014 39.0 39.0 0.0 0.0 NaN
25.003797505013637 0.0 39.0 496.0 12.4 5.0000000000000036 0.12500000000000014 39.0 39.0 0.0 0.0 NaN
26.004885589795766 0.0 39.0 513.0 12.825 6.000000000000007 0.1500000000000001 39.0 39.0 0.0 0.0 NaN
27.003797505013637 0.0 39.0 535.0 13.375 6.000000000000007 0.1500000000000001 39.0 39.0 0.0 0.0 NaN
28.004885589795766 0.0 40.0 553.0 13.825 7.0 0.17500000000000007 39.0 39.0 0.0 0.0 NaN
29.003797505013637 0.0 40.0 575.0 14.375 7.0 0.17500000000000007 39.0 39.0 0.0 0.0 NaN
30.004885589795766 0.0 40.0 593.0 14.825 7.0 0.17500000000000007 39.0 39.0 0.0 0.0 NaN
31.003797505013637 0.0 40.0 615.0 15.375 7.0 0.17500000000000007 39.0 39.0 0.0 0.0 NaN
32.00488558979576 0.0 39.0 632.0 15.8 7.0 0.17500000000000007 39.0 39.0 0.0 0.0 NaN
33.00379750501364 0.0 39.0 654.0 16.35 7.0 0.17500000000000007 39.0 39.0 0.0 0.0 NaN
34.00488558979576 0.0 39.0 671.0 16.775 7.999999999999999 0.1999999999999999 39.0 39.0 0.0 0.0 NaN
35.00379750501364 0.0 39.0 693.0 17.325 7.999999999999999 0.1999999999999999 39.0 39.0 0.0 0.0 NaN
36.00488558979576 0.0 39.0 710.0 17.75 9.000000000000004 0.22500000000000023 39.0 39.0 0.0 0.0 NaN
37.00379750501364 0.0 39.0 732.0 18.3 9.000000000000004 0.22500000000000023 39.0 39.0 0.0 0.0 NaN
38.00488558979576 0.0 39.0 749.0 18.725 9.999999999999998 0.24999999999999992 39.0 39.0 0.0 0.0 NaN
39.00379750501364 0.0 39.0 771.0 19.275 9.999999999999998 0.24999999999999992 39.0 39.0 0.0 0.0 NaN
40.00488558979576 0.0 39.0 788.0 19.7 10.999999999999995 0.27499999999999997 39.0 39.0 0.0 0.0 NaN
41.00379750501364 0.0 39.0 810.0 20.25 10.999999999999995 0.27499999999999997 39.0 39.0 0.0 0.0 NaN
42.00488558979576 0.0 39.0 827.0 20.675 11.999999999999996 0.2999999999999999 39.0 39.0 0.0 0.0 NaN
43.00379750501364 0.0 39.0 849.0 21.225 11.999999999999996 0.2999999999999999 39.0 39.0 0.0 0.0 NaN
44.00488558979576 0.0 39.0 866.0 21.65 12.999999999999996 0.32499999999999996 39.0 39.0 0.0 0.0 NaN
45.00379750501364 0.0 39.0 888.0 22.2 12.999999999999996 0.32499999999999996 39.0 39.0 0.0 0.0 NaN
46.00488558979576 0.0 39.0 905.0 22.625 14.000000000000007 0.35000000000000026 39.0 39.0 0.0 0.0 NaN
47.00379750501364 0.0 39.0 927.0 23.175 14.000000000000007 0.35000000000000026 39.0 39.0 0.0 0.0 NaN
48.00488558979576 0.0 39.0 944.0 23.6 15.000000000000002 0.37500000000000006 39.0 39.0 0.0 0.0 NaN
49.00379750501364 0.0 39.0 966.0 24.15 15.000000000000002 0.37500000000000006 39.0 39.0 0.0 0.0 NaN
50.00488558979576 0.0 39.0 983.0 24.575 15.999999999999993 0.39999999999999974 39.0 39.0 0.0 0.0 NaN
51.00379750501364 0.0 39.0 1005.0 25.125 15.999999999999993 0.39999999999999974 39.0 39.0 0.0 0.0 NaN
52.00488558979576 0.0 39.0 1022.0 25.55 16.999999999999996 0.4249999999999997 39.0 39.0 0.0 0.0 NaN
53.00379750501364 0.0 39.0 1044.0 26.1 16.999999999999996 0.4249999999999997 39.0 39.0 0.0 0.0 NaN
54.00488558979576 0.0 39.0 1061.0 26.525 18.000000000000004 0.45000000000000034 39.0 39.0 0.0 0.0 NaN
55.00379750501364 0.0 39.0 1083.0 27.075 18.000000000000004 0.45000000000000034 39.0 39.0 0.0 0.0 NaN
56.00488558979576 0.0 39.0 1100.0 27.5 19.000000000000007 0.4750000000000003 39.0 39.0 0.0 0.0 NaN
57.00379750501364 0.0 39.0 1122.0 28.05 19.000000000000007 0.4750000000000003 39.0 39.0 0.0 0.0 NaN
58.00488558979576 0.0 39.0 1139.0 28.475 20.000000000000007 0.5000000000000003 39.0 39.0 0.0 0.0 NaN
59.00379750501364 0.0 39.0 1161.0 29.025 20.000000000000007 0.5000000000000003 39.0 39.0 0.0 0.0 NaN
60.00488558979576 0.0 39.0 1178.0 29.45 21.000000000000007 0.525 39.0 39.0 0.0 0.0 NaN
61.00379750501364 0.0 39.0 1200.0 30.0 21.000000000000007 0.525 39.0 39.0 0.0 0.0 NaN
62.00488558979576 0.0 40.0 1218.0 30.45 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
63.00379750501364 0.0 40.0 1240.0 31.0 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
64.00488558979576 0.0 40.0 1258.0 31.45 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
65.00379750501364 0.0 40.0 1280.0 32.0 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
66.00488558979576 0.0 40.0 1298.0 32.45 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
67.00379750501364 0.0 40.0 1320.0 33.0 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
68.00488558979576 0.0 39.0 1337.0 33.425 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
69.00379750501364 0.0 39.0 1359.0 33.975 21.999999999999996 0.5499999999999997 39.0 39.0 0.0 0.0 NaN
70.00488558979576 0.0 39.0 1376.0 34.4 22.99999999999998 0.5749999999999996 39.0 39.0 0.0 0.0 NaN
